award number,published_year,investigators
0623478,2006,"Feng,Zhaodong"
9709806,1997,"Miller,Gifford"
8301010,1983,"Ghosh,Avijit"
9909597,2000,"Blum,Michael"
7811372,1978,"Beyers,William"
8610301,1986,"Johansen,Harley|Rudzitis,Gundars"
8715906,1988,"Swyngedouw,Erik|Schoenberger,Erica"
8821970,1990,"Hsu,Mei-Ling"
8918644,1989,"Dorn,Ronald"
7820530,1978,"Hanson,Susan|Burnett,K."
9811177,1998,"Chan,Kam-Wing"
9506434,1995,"Bassett,Thomas"
0082147,2000,"Momsen,Janet"
0850615,2009,"Lu,Dengsheng|Moran,Emilio"
9109837,1991,"Butler,David"
9206033,1992,
0102191,2001,"Krapf,Kristen|de Souza,Anthony|Spaulding,David|Turner,Paul"
0508984,2005,"Hessl,Amy"
9819138,1999,"Graham,Julie"
9511134,1995,"Bilsborrow,Richard"
9810384,1998,"Parks,Bradley"
7466587,1974,
7910919,1980,"Nostrand,Richard"
8811100,1988,"Bush,Mark|Colinvaux,Paul"
0616763,2006,"Emerson,Charles|Veeck,Gregory"
9817432,1999,"Acharya,Anurag|Goodchild,Michael|Agrawal,Divyakant|Frew,James|Smith,Terence"
8618527,1987,"Kodras,Janet"
8160378,1981,"Zevin,Jack"
9986203,2000,"Rogers,Andrei"
9818665,1999,"Franklin,Janet"
8410564,1984,"Christopherson,Susan"
7925069,1980,"Rushton,Gerard|McNulty,Michael"
9205490,1992,"Prince,Stephen"
9977828,1999,"Zimmerer,Karl"
9911158,2000,"Ye,Hengchun"
7709036,1977,"Larimore,Ann"
9152518,1991,"Macey,Susan"
7601335,1975,"Gould,Peter"
0349512,2004,"Works,Martha|Emch,Michael"
7812537,1978,"Turner,B."
8953392,1989,"Waugh,Michael|McMullen,F.Anne|Brehm,Barbara|Levin,James"
9813966,1998,"White,Wendy"
8015418,1980,"Conklin,George"
7825582,1979,"Vining,Daniel"
0825511,2008,"Root,Elisabeth|Emch,Michael"
7707081,1977,"Wolpert,Julian"
8313190,1984,"Winterhalder,Bruce"
7355449,1973,
9613646,1996,"Turner,Roy|Overmyer,Scott|Turner,Elise|Egenhofer,Max"
0645821,2007,"Whitlock,Cathy"
7355421,1973,
8722676,1988,"Outcalt,Samuel|Nelson,Frederick"
8502802,1985,"Darling,Richard Willia"
0110497,2001,"Harrington,James"
9205571,1992,"Hapke,Holly|Agnew,John"
0919239,2009,"Wilder,Jason|Beier,Paul"
7140231,1971,
0602331,2006,"Byrne,Roger"
8920917,1990,
9811465,1998,"Zimmerer,Karl"
0452103,2005,"Holder,Curtis"
8200901,1982,"Pyle,Gerald"
0623395,2006,"Fortmann,Louise"
0221058,2002,"Storper,Michael"
9906549,1999,"Thompson,Lonnie"
8215663,1983,"Hewings,Geoffrey J|Boyce,David"
7682379,1977,"Feller,Irwin"
0351302,2004,"Stallins,Jon|Changnon,David|Bentley,Mace"
7901589,1979,"MacKay,David"
0082253,2000,"Lawson,Victoria"
9711993,1997,"Staeheli,Lynn"
0602632,2006,"Grissino-Mayer,Henri"
8319058,1984,"Meyer,David"
9353559,1993,"Lanier-Phelps,Ellen|Gillen,James|Houck,Michael|Poracsky,Joseph|Whitney,Gail"
9851437,1998,"Sieber,Renee|Henderson,Floyd|Arnason,John|Mower,James|Lapenis,Andrei"
9807388,1998,"Mock,Cary"
8511280,1985,"Knox,James"
9422580,1995,"Lauria,Mickey"
0079343,2000,"Blum,Michael"
71E8216,1971,
9104139,1991,
0240310,2003,"Aspinall,Richard|Birkeland,Karl|Hansen,Katherine"
9731370,1998,"Ufkes,Frances"
0220486,2002,"Hanson,Susan"
0631200,2007,"Cutler,Paul|de Souza,Anthony"
0126666,2002,"Noe,Garry|Schaus,Maynard|Haley,J. Christopher"
0087572,2001,"Bettis III,Elmer"
8918344,1989,"Jacobson,Harold"
7616832,1976,"O'Sullivan,Patrick"
9900641,1999,"Watts,Michael"
0922737,2009,"Grubesic,Tony"
7719008,1977,"Barber,Gerald|O'Sullivan,Patrick"
9122281,1992,"Fisher,George|Papenfuse,Edward|Brush,Grace|Curtin,Philip"
9404823,1994,"Bhardwaj,Surinder"
9352182,1993,"Ruth,Matthias|Gopal,Sucharita|Annis,Sheldon|Cleveland,Cutler"
0649380,2007,"Schwartz,Mark"
9508272,1995,"Johnson,William"
7826121,1979,"Zelinsky,Wilbur"
8218829,1983,"Lakshmanan,T."
9406722,1994,"Kasperson,Roger"
9984876,2001,"Cope,Meghan"
9005229,1990,"Rhodes,J. Michael"
7728468,1978,"Burnett,K."
0221256,2002,"O'Loughlin,John"
8700910,1987,"Wimberly,Francis|Miller,David|Gorr,Wilpen"
9511529,1995,"Sherman,Douglas|Bauer,Bernard"
0703370,2007,"Kwan,Mei-Po"
9016108,1991,"North,Gerald"
0550329,2006,"Peck,Jamie|Olds,Kristopher"
8007573,1980,"Boxer,Baruch"
0721965,2008,"Butzer,Karl|Hudson,Paul"
9900447,1999,"Sloan,Frank|McElroy,Marjorie"
8407160,1984,"Pellegrino,James|Golledge,Reginald"
0615878,2007,"Engel-Di Mauro,Salvatore"
9506564,1995,"Knox,James"
8607735,1986,"Petrie,William"
0519685,2005,"Hesp,Patrick|Blum,Michael|Hesp,Patrick"
6323445,1963,
9732429,1998,"Hanson,Susan|Lake,Robert"
0071916,2001,"Krapf,Kristen|de Souza,Anthony|Vandemark,Lisa"
8207567,1982,"Hudson,John"
9628940,1996,"Errington,J. Joseph"
8520155,1986,"Lowery,David|Lyons,William"
0117822,2001,"Roberts,Susan"
8609123,1986,"Frank,Andrew"
0703460,2007,"Doolittle,William"
9152749,1991,"Wells,Lisa"
8520389,1986,"Gale,Nathan|Golledge,Reginald|Hubert,Lawrence"
0703153,2007,"Rhoads,Bruce"
9811238,1998,"Beyers,William"
9423249,1995,"Blum,Michael"
8318239,1984,"Kim,Tschangho"
9115750,1991,"Robinson,Peter|Smith,Richard"
0117811,2001,"Knapp,Gregory"
7309159,1973,"Rayner,John|Golledge,Reginald"
9975400,1999,"Lloyd,Robert|Hodgson,Michael"
0727292,2007,"Eastman,J. Ronald"
